distributed_link,persona,current_time,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8
https://www.tiktok.com/@evilnetik/video/7328399559120424235,Sports,2024-04-17 21:52:49.844319,https://www.tiktok.com/@michael_liscio72/video/7338134506777365802,https://www.tiktok.com/@wormstastefunny/video/7331787262981655850,https://www.tiktok.com/@pippetmcmuffin/video/7329276492502863135,https://www.tiktok.com/@longlivethechaz/video/7329700520023641387,https://www.tiktok.com/@lehighwomenswrestling/video/7327473225078672682,https://www.tiktok.com/@starrlorainsews/video/7326669380983541023,https://www.tiktok.com/@espn/video/7331122913946438955,https://www.tiktok.com/@iyannanicole._/video/7325931563236216110
https://www.tiktok.com/@allman289/video/7351316418132036906,Sports,2024-04-17 22:00:11.257762,https://www.tiktok.com/@shoptintzy/video/7349269490695179551,https://www.tiktok.com/@ilovetheweekend24/video/7328188310889827614,https://www.tiktok.com/@caf_online/video/7334501338652413189,https://www.tiktok.com/@jenny.berry52/video/7358628702529359110,https://www.tiktok.com/@jukes/video/7349732710790909230,https://www.tiktok.com/@lalacountrys/video/7358817293196872966,https://www.tiktok.com/@raz0ymant0r/video/7358540660036635909,https://www.tiktok.com/@bang_chana03/video/7358454176839404806
https://www.tiktok.com/@imanalidib/video/7337448931418180906,Sports,2024-04-17 23:00:03.435225,https://www.tiktok.com/@liltazvert/video/7334072356328967466,https://www.tiktok.com/@notdave._/video/7358767963735870726,https://www.tiktok.com/@yankees/video/7352279211509370155,https://www.tiktok.com/@emilyyharrigan/video/7328878855047957791,https://www.tiktok.com/@coach.rac/video/7337782242825063723,https://www.tiktok.com/@liltazvert/video/7344867889763241262,https://www.tiktok.com/@sa.tomaa/video/7338254186712190251,https://www.tiktok.com/@whiteboyem/video/7342236706931805482
https://www.tiktok.com/@shereeneidriss/video/7343021997191941418,Sports,2024-04-18 00:00:04.765236,https://www.tiktok.com/@xocheergurlox/video/7346992683577052458,https://www.tiktok.com/@mojojojokes/video/7343639147829120298,https://www.tiktok.com/@shereeneidriss/video/7352313772654021934,https://www.tiktok.com/@shereeneidriss/video/7338889979269106986,https://www.tiktok.com/@dermatologysurgeon/video/7343281453251218730,https://www.tiktok.com/@shereeneidriss/video/7341919738827722026,https://www.tiktok.com/@dr.mamina/video/7329900461845253419,https://www.tiktok.com/@shereeneidriss/video/7342875010253606190
https://www.tiktok.com/@yourfavoriteguy/video/7337028694449458474,Sports,2024-04-18 01:00:14.201478,https://www.tiktok.com/@overtime/video/7328959518908583214,https://www.tiktok.com/@sportfanzs/video/7342174173806071071,https://www.tiktok.com/@camman.18/video/7329422584808787231,https://www.tiktok.com/@itonyvara/video/7325957799723420974,https://www.tiktok.com/@yourfavoriteguy/video/7337814895133592875,https://www.tiktok.com/@yourfavoriteguy/video/7337826454111145259,https://www.tiktok.com/@yourfavoriteguy/video/7326301445999824171,https://www.tiktok.com/@jayrscottyy/video/7345527304501660970
https://www.tiktok.com/@thatfoodielyss/video/7323797404011089198,Sports,2024-04-18 02:00:10.985754,https://www.tiktok.com/@joeliethebarber/video/7339362758938463489,https://www.tiktok.com/@j.billiard3/video/7352416715755523344,https://www.tiktok.com/@omer_.bozkurt04/video/7358862941988375814,https://www.tiktok.com/@alyssaberryxx/video/7351128447453891845,https://www.tiktok.com/@j.billiard3/video/7337793649964584193,https://www.tiktok.com/@nutterbuttergear/video/7331806873064197382,https://www.tiktok.com/@wl_qoutes/video/7328369360219704607,https://www.tiktok.com/@sscoliosiss.brace/video/7340393497662328106
https://www.tiktok.com/@meme._.galaxy/video/7334316740840574240,Sports,2024-04-18 03:00:20.961161,https://www.tiktok.com/@haruun_apdi/video/7348869373634891013,https://www.tiktok.com/@shlatfish/video/7354202185120402731,https://www.tiktok.com/@blue.lee3/video/7350194853399022853,https://www.tiktok.com/@ring_jedi/video/7347780313994546474,https://www.tiktok.com/@repxkicks/video/7341419084267146542,https://www.tiktok.com/@repx_kick/video/7338458154289859886,https://www.tiktok.com/@15por_ciento/video/7331111652454321414,https://www.tiktok.com/@manualidades_diy_fei/video/7339192868763864363
https://www.tiktok.com/@chhloekim/video/7353865845061258513,Sports,2024-04-18 04:00:04.147790,https://www.tiktok.com/@chhloekim/video/7331459504623734017,https://www.tiktok.com/@misosumiii/video/7331648339911675182,https://www.tiktok.com/@anotherbaldgirl/video/7333507874884209941,https://www.tiktok.com/@chhloekim/video/7341089973778648321,https://www.tiktok.com/@inumakimmi/video/7353662874910330155,https://www.tiktok.com/@misosumiii/video/7343651345662217518,https://www.tiktok.com/@misosumiii/video/7338677724032077099,https://www.tiktok.com/@misosumiii/video/7326152404557106475
https://www.tiktok.com/@davidsonboswell/video/7351474612892470571,Sports,2024-04-18 05:00:03.590119,https://www.tiktok.com/@jennnyisveryfunny/video/7354034648143465770,https://www.tiktok.com/@calvingrindz/video/7355269943417441578,https://www.tiktok.com/@gothic.regina.george/video/7350697883957595434,https://www.tiktok.com/@reesematisse/video/7343805696200166698,https://www.tiktok.com/@makonieni/video/7358727402928868613,https://www.tiktok.com/@bencarpenterphotos/video/7329194400297274654,https://www.tiktok.com/@dniare/video/7358626826421308677,https://www.tiktok.com/@perle.rare084/video/7358683079935937797
https://www.tiktok.com/@shhhhimeating/video/7335151140415311146,Sports,2024-04-18 06:00:11.975001,https://www.tiktok.com/@debbiekval/video/7342144141322718510,https://www.tiktok.com/@kittyfoodie/video/7328271705779080490,https://www.tiktok.com/@banginbuns/video/7337796801665256734,https://www.tiktok.com/@recipesbyrachie/video/7325921000346995975,https://www.tiktok.com/@debbiekval/video/7325971430972329262,https://www.tiktok.com/@debbiekval/video/7329687072510446891,https://www.tiktok.com/@hunjoe/video/7326386153123351851,https://www.tiktok.com/@fs._ari/video/7353393390261882158
