,distributed_link_id,persona_category,distributed_link_category,distributed_link_author,rec_category,rec_author,isTopCount_persona,prop_persona,isMajorityCount_persona,isFirst3Position_persona,isFirstPosition_persona,propSameAuthor,isTopCount_dst,prop_dst,isMajorityCount_dst,isFirst3Position_dst,isFirstPosition_dst,propSameAuthor_persona,propSameAuthor_dst
0,7238391829421395243,beauty,,leah.givestipss,"['other', None, None, None, None, None, None, None]","['rileyscallon', None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,True,0.0,False,True,False,0.0,0.0
1,7238391829421395243,control,,leah.givestipss,"['sports', None, 'beauty', 'sports', 'other', 'beauty', 'sports', 'sports']","['denizms3_', None, 'good.creation', 'snookerchamp1', 'alyssaberryxx', 'elreydelospisos', 'penivo', 'tylkibas.volleyball']",False,0.0,False,False,False,0.0,False,0.0,False,True,False,0.0,0.0
2,7238391829421395243,society,,leah.givestipss,"['other', 'other', 'other', 'society', 'other', 'other', 'other', None]","['johayn.jumma', 'millenaeli', 'manu.gutierre8', 'cbseveningnews', 'fakir.1999', 'isadora_.nunes', 'iy__m3', 'mediimaro']",False,0.14285714285714285,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
3,7238391829421395243,sports,,leah.givestipss,"['other', 'other', 'other', None, None, 'other', 'other', 'other']","['iamnzae', 'nonbeatsz', 'icafabria', None, None, 'kanzakianna36', 'nonbeatsz', 'nonbeatsz']",False,0.0,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
4,7287664074081586438,beauty,sports,taylerfit,"['sports', 'sports', 'sports', 'beauty', 'sports', 'sports', 'other', 'other']","['taylerfit', 'taylerfit', 'taylerfit', 'packjower', 'taylerfit', 'taylerfit', 'taylerfit', 'strider5gum0']",False,0.125,False,False,False,0.75,True,0.625,True,True,True,0.75,0.75
5,7287664074081586438,control,sports,taylerfit,"['sports', 'other', 'sports', 'sports', 'sports', 'sports', 'sports', 'sports']","['taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'taylerfit']",False,0.0,False,False,False,1.0,True,0.875,True,True,True,1.0,1.0
6,7287664074081586438,society,sports,taylerfit,"['sports', 'sports', 'sports', 'other', 'other', 'sports', 'society', 'other']","['taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'bidenhq', 'taylerfit', 'abc7newsbayarea', 'userj10konrzrz']",False,0.125,False,False,False,0.625,True,0.5,False,True,True,0.625,0.625
7,7287664074081586438,sports,sports,taylerfit,"['sports', 'other', 'sports', 'sports', 'beauty', 'sports', 'sports', 'other']","['taylerfit', 'taylerfit', 'taylerfit', 'taylerfit', 'elin_wonyoungsim', 'taylerfit', 'taylerfit', 'wormarij']",True,0.625,True,True,True,0.75,True,0.625,True,True,True,0.75,0.75
8,7288851506059660590,beauty,beauty,aylennpark,"['other', 'beauty', 'other', 'other', None, 'beauty', None, 'other']","['aylennpark', 'aylennpark', 'aylennpark', 'aylennpark', None, 'aylennpark', None, 'windpress']",False,0.3333333333333333,False,True,False,0.8333333333333334,False,0.3333333333333333,False,True,False,0.8333333333333334,0.8333333333333334
9,7288851506059660590,control,beauty,aylennpark,"['other', 'beauty', 'other', None, None, 'beauty', 'beauty', None]","['aylennpark', 'aylennpark', 'aylennpark', None, None, 'user2940569200288', 'aylennpark', None]",False,0.0,False,False,False,0.8,True,0.6,True,True,False,0.8,0.8
10,7288851506059660590,society,beauty,aylennpark,"['other', 'other', 'beauty', 'other', 'other', None, 'beauty', None]","['j.huhh', 'yezyeji', 'aylennpark', 'aylennpark', 'aylennpark', 'smalltiger0510', 'nurul_zakirah', None]",False,0.0,False,False,False,0.42857142857142855,False,0.3333333333333333,False,True,False,0.5,0.5
11,7288851506059660590,sports,beauty,aylennpark,"['other', None, None, 'other', 'beauty', 'other', 'other', 'beauty']","['aylennpark', None, None, 'tu_amor_isacc', 'gene_01.2', 'el_vaquero_sonorense', 'brahyan_rosales', 'aylennpark']",False,0.0,False,False,False,0.3333333333333333,False,0.3333333333333333,False,False,False,0.3333333333333333,0.3333333333333333
12,7308812062598237473,beauty,sports,lucia.mikusova,"['other', 'other', 'other', 'other', 'other', 'other', 'other', 'other']","['buodq.yt', 'buodq.yt', 'patheticplayer', 'anthomnia', 'kikakiim', 'dallasmavs', 'jamacain.frais28', 'raeganspoetry']",False,0.0,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
13,7308812062598237473,control,sports,lucia.mikusova,"['sports', 'sports', 'other', 'other', 'other', 'other', 'sports', 'other']","['braxtonpoolpowers', 'jeremy_littel', 'bose_baby28', 'xoecurly', 'anabelangusa', 'crafts_school', 'aesthetics44447', 'hey_zhazi']",False,0.0,False,False,False,0.0,False,0.375,False,True,True,0.0,0.0
14,7308812062598237473,society,sports,lucia.mikusova,"['society', 'society', 'sports', 'other', None, 'other', None, None]","['americafirst617', 'sbsnews_au', 'anshucr.7', 'aljazeeraenglish', 'overtime', 'jimmykimmellive', None, None]",False,0.4,False,True,True,0.0,False,0.2,False,True,False,0.0,0.0
15,7308812062598237473,sports,sports,lucia.mikusova,"['sports', None, 'other', 'sports', 'other', None, 'other', 'beauty']","['ag_soccer', None, 'madi_3026', 'patmcafeeshowofficial', 'ash_lay', 'nuhuayagiofficial', 'rishad2087', 'rocio.fandio1']",False,0.3333333333333333,False,True,True,0.0,False,0.3333333333333333,False,True,True,0.0,0.0
16,7321696277274610990,beauty,beauty,minhanhhh_3,"['other', None, None, None, None, None, None, None]","['atomictwins', None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
17,7321696277274610990,control,beauty,minhanhhh_3,"['other', 'other', 'other', 'other', None, None, 'beauty', 'beauty']","['louis.lucas29', 'iam.truxxy', 'chequanlaosi', 'lwinlwinaung952', None, None, 'violet.world.salon1', 'hamzao0']",False,0.0,False,False,False,0.0,False,0.3333333333333333,False,False,False,0.0,0.0
18,7321696277274610990,society,beauty,minhanhhh_3,"['beauty', 'other', 'other', 'other', 'society', 'other', None, 'society']","['aldmej', 'aldhafee1', '9b.sadyk.sydykoov', 'jessy_carvalho7', 'meidastouch', 'iw7ia', None, '_annieelise']",False,0.2857142857142857,False,False,False,0.0,False,0.14285714285714285,False,True,True,0.0,0.0
19,7321696277274610990,sports,beauty,minhanhhh_3,"[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",False,0.0,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
20,7321877936989146414,beauty,beauty,butternutbakery,"['beauty', 'other', 'other', 'other', 'other', 'other', 'other', 'other']","['tik_tyong', 'official_nct', 'tik_tyong', 'tik_tyong', 'boynextdoor_official', 'official_nct', 'official_nct', 'youdontknowme0460']",False,0.125,False,True,True,0.0,False,0.125,False,True,True,0.0,0.0
21,7321877936989146414,control,beauty,butternutbakery,"['beauty', 'beauty', 'beauty', 'beauty', 'other', 'other', 'other', 'other']","['butternutbakery', 'butternutbakery', 'butternutbakery', 'butternutbakery', 'saavinguppforheadless', 'steveetv2', 'calvingrindz', 'rachelchofloral']",False,0.0,False,False,False,0.5,True,0.5,False,True,True,0.5,0.5
22,7321877936989146414,society,beauty,butternutbakery,"['beauty', 'other', 'beauty', 'other', 'beauty', 'society', 'beauty', 'society']","['butternutbakery', 'thedailyshow', 'butternutbakery', 'novettebet', 'butternutbakery', 'bidenhq', 'butternutbakery', 'msnbc']",False,0.25,False,False,False,0.5,True,0.5,False,True,True,0.5,0.5
23,7321877936989146414,sports,beauty,butternutbakery,"['other', 'beauty', 'beauty', None, None, None, 'beauty', 'beauty']","['toyyii_', 'butternutbakery', 'butternutbakery', None, None, None, 'butternutbakery', 'butternutbakery']",False,0.0,False,False,False,0.8,True,0.8,True,True,False,0.8,0.8
24,7321883005050719534,beauty,beauty,brendaa.chan,"['other', 'other', 'sports', 'other', 'other', 'other', 'other', 'sports']","['joyydesign', 'candynerdzz', 'mk3volleyball', 'yurizingod0', 'hearts2miraaa', 'user262803695697', 'whatthesmokes', 'ymdi0925']",False,0.0,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
25,7321883005050719534,control,beauty,brendaa.chan,"['other', None, 'other', 'other', 'other', 'other', 'other', 'beauty']","['mariahandbill', 'x.elkev', 'justjordan33', 'trixceo', 'keemokazi', 'mmmjoemele', 'zeddywill', 'silb0017']",False,0.0,False,False,False,0.0,False,0.14285714285714285,False,False,False,0.0,0.0
26,7321883005050719534,society,beauty,brendaa.chan,"['other', 'other', 'other', 'society', 'society', None, 'other', 'other']","['joel.zdn.019.2', 'talhabakirr', 'kindbeaz_254', 'aljazeeraenglish', 'abcworldnews', None, 'bestdhulwla0786', 'straitstimes']",False,0.2857142857142857,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
27,7321883005050719534,sports,beauty,brendaa.chan,"['beauty', 'other', 'sports', None, 'beauty', 'beauty', 'other', 'beauty']","['miriamn64', 'chickenhappyhour', 'j.billiard3', None, 'arty_zubkov', 'miriamn64', 'miriamn64', 'miriamn64']",False,0.14285714285714285,False,True,False,0.0,True,0.5714285714285714,True,True,True,0.0,0.0
28,7322185040853617921,beauty,beauty,kaivaugha,"['other', 'other', 'other', 'beauty', 'other', 'other', None, 'other']","['zenontech', 'karutaclan', 'leleolopezz', 'rouhlaazizi33', 'cheappickle.tv', 'kaydeniskold', 'joeliethebarber', 'isadora_.nunes']",False,0.14285714285714285,False,False,False,0.0,False,0.14285714285714285,False,False,False,0.0,0.0
29,7322185040853617921,control,beauty,kaivaugha,"['other', 'other', 'other', 'other', 'other', 'beauty', None, None]","['zenontech', 'xiavigor__', 'techinfo001', 'c5teve', 'phoebevandonselaar_', 'kaivaugha', None, None]",False,0.0,False,False,False,0.16666666666666666,False,0.16666666666666666,False,False,False,0.16666666666666666,0.16666666666666666
30,7322185040853617921,society,beauty,kaivaugha,"['sports', None, 'other', 'society', 'other', 'society', None, None]","['drsiyabmd', 'dailymail', 'povpierce', 'cbseveningnews', 'victorgonzalez5113', 'abcworldnews', None, None]",False,0.4,False,False,False,0.0,False,0.0,False,False,False,0.0,0.0
