distributed_link,persona,current_time,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8
https://www.tiktok.com/@evilnetik/video/7328399559120424235,Society,2024-04-17 21:27:28.010083,https://www.tiktok.com/@yuurei_/video/7358439110568201477,https://www.tiktok.com/@pits.bea/video/7358592210817830162,https://www.tiktok.com/@latinus_us/video/7326236202493938949,https://www.tiktok.com/@cbsnews/video/7331124165505846558,https://www.tiktok.com/@shoptintzy/video/7349269490695179551,https://www.tiktok.com/@kittkitten_/video/7358640462925663494,https://www.tiktok.com/@underthedesknews/video/7344155387504987435,https://www.tiktok.com/@iyminal/video/7345423044833266987
https://www.tiktok.com/@evilnetik/video/7328399559120424235,control,2024-04-17 21:30:59.842660,https://www.tiktok.com/@paytonhughes18/video/7327145362047749406,https://www.tiktok.com/@kristy.jo.hinojosa/video/7334219956189416746,https://www.tiktok.com/@sarasplansky/video/7347025056557600046,https://www.tiktok.com/@michael_liscio72/video/7338134506777365802,https://www.tiktok.com/@jeremy_littel/video/7352611234706951466,https://www.tiktok.com/@andiebush/video/7346033540179447083,https://www.tiktok.com/@urting.pissy.flame/video/7333810987616718123,https://www.tiktok.com/@wefxbmk/video/7334735987173526827
https://www.tiktok.com/@allman289/video/7351316418132036906,control,2024-04-17 22:00:00,https://www.tiktok.com/@say_luhm/video/7331457563420298542,https://www.tiktok.com/@watsonschocolates/video/7346201968739683627,https://www.tiktok.com/@maryyycarol/video/7350749647167622443,https://www.tiktok.com/@theaquabreeze/video/7343152895270898946,https://www.tiktok.com/@limbatrip/video/7342742984867187976,https://www.tiktok.com/@jamal.0340/video/7350653361508715822,https://www.tiktok.com/@lucynaidun/video/7351984040704068906,https://www.tiktok.com/@2raree/video/7343268872088210731
https://www.tiktok.com/@allman289/video/7351316418132036906,Society,2024-04-17 22:00:14.383918,https://www.tiktok.com/@bloombergpolitics/video/7344124744578534702,https://www.tiktok.com/@troythompson360/video/7354933303318760746,https://www.tiktok.com/@power106la/video/7347776465414606126,https://www.tiktok.com/@sbsnews_au/video/7351273797565140225,https://www.tiktok.com/@hygonews/video/7327454126453886238,https://www.tiktok.com/@underthedesknews/video/7343413943618030891
https://www.tiktok.com/@imanalidib/video/7337448931418180906,Society,2024-04-17 23:00:06.845866,https://www.tiktok.com/@housewifeprepper/video/7337078792231341355,https://www.tiktok.com/@imanalidib/video/7348905610114633006,https://www.tiktok.com/@imanalidib/video/7338881452978867499,https://www.tiktok.com/@humbleprepping/video/7338211246535265582
https://www.tiktok.com/@imanalidib/video/7337448931418180906,control,2024-04-17 23:00:00,https://www.tiktok.com/@totwoobracelets34/video/7353693609465548039,https://www.tiktok.com/@coolkalimba/video/7342820642573651218,https://www.tiktok.com/@therealhammytv/video/7351141368821108014,https://www.tiktok.com/@r.martino/video/7358831753156463878,https://www.tiktok.com/@imanalidib/video/7348905610114633006,https://www.tiktok.com/@imanalidib/video/7346664080914140458,https://www.tiktok.com/@imanalidib/video/7328549881516133675,https://www.tiktok.com/@imanalidib/video/7341532406932983083
https://www.tiktok.com/@evilnetik/video/7328399559120424235,Society,2024-04-17 23:48:30.763420,https://www.tiktok.com/@kayla.g21/video/7330787200885591342,https://www.tiktok.com/@alejandrogp011/video/7327804304620932394,https://www.tiktok.com/@keepingupwithamandaj/video/7339746717992045870,https://www.tiktok.com/@weather/video/7327039369515207982,https://www.tiktok.com/@elizabeth.liner/video/7355567435623173418,https://www.tiktok.com/@dadpackdotcom/video/7345232199580405023,https://www.tiktok.com/@jvn_official/video/7326554799443397930,https://www.tiktok.com/@faifai212170/video/7339972265121025323
https://www.tiktok.com/@shereeneidriss/video/7343021997191941418,control,2024-04-18 00:00:00,https://www.tiktok.com/@shereeneidriss/video/7338889979269106986,https://www.tiktok.com/@shereeneidriss/video/7341919738827722026,https://www.tiktok.com/@shereeneidriss/video/7338858815372135723,https://www.tiktok.com/@dermatologysurgeon/video/7343281453251218730,https://www.tiktok.com/@shereeneidriss/video/7352313772654021934,https://www.tiktok.com/@tinashe/video/7350798553041718571,https://www.tiktok.com/@shereeneidriss/video/7351624838433328426,https://www.tiktok.com/@shereeneidriss/video/7352713457587834154
https://www.tiktok.com/@allman289/video/7351316418132036906,Society,2024-04-18 00:00:18.200613,https://www.tiktok.com/@abcworldnews/video/7343794934010383658,https://www.tiktok.com/@wun.lam/video/7348072451684764971,https://www.tiktok.com/@oooo_09094/video/7358769735737019655,https://www.tiktok.com/@nbcnews/video/7345865793202081054,https://www.tiktok.com/@nebulosa.corazon/video/7358867834090425606,https://www.tiktok.com/@_loufee_/video/7337468323770174762,https://www.tiktok.com/@todayshow/video/7345920136009878827,https://www.tiktok.com/@facethenation/video/7339645275834780974
https://www.tiktok.com/@yourfavoriteguy/video/7337028694449458474,control,2024-04-18 01:00:00.000002,https://www.tiktok.com/@yourfavoriteguy/video/7337814895133592875,https://www.tiktok.com/@yourfavoriteguy/video/7326301445999824171,https://www.tiktok.com/@yourfavoriteguy/video/7337826454111145259,https://www.tiktok.com/@steves.adventure/video/7346250238149004552,https://www.tiktok.com/@mrssmithscatchysongs/video/7350365725502065950,https://www.tiktok.com/@j.billiard3/video/7346180630125858050,https://www.tiktok.com/@chickenhappyhour/video/7356015606426045738,https://www.tiktok.com/@a_lee073/video/7328392235995761925
