distributed_link,persona,current_time,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8
https://www.tiktok.com/@evilnetik/video/7328399559120424235,Society,2024-04-17 23:48:30.763420,https://www.tiktok.com/@kayla.g21/video/7330787200885591342,https://www.tiktok.com/@alejandrogp011/video/7327804304620932394,https://www.tiktok.com/@keepingupwithamandaj/video/7339746717992045870,https://www.tiktok.com/@weather/video/7327039369515207982,https://www.tiktok.com/@elizabeth.liner/video/7355567435623173418,https://www.tiktok.com/@dadpackdotcom/video/7345232199580405023,https://www.tiktok.com/@jvn_official/video/7326554799443397930,https://www.tiktok.com/@faifai212170/video/7339972265121025323
https://www.tiktok.com/@allman289/video/7351316418132036906,Society,2024-04-18 00:00:18.200613,https://www.tiktok.com/@abcworldnews/video/7343794934010383658,https://www.tiktok.com/@wun.lam/video/7348072451684764971,https://www.tiktok.com/@oooo_09094/video/7358769735737019655,https://www.tiktok.com/@nbcnews/video/7345865793202081054,https://www.tiktok.com/@nebulosa.corazon/video/7358867834090425606,https://www.tiktok.com/@_loufee_/video/7337468323770174762,https://www.tiktok.com/@todayshow/video/7345920136009878827,https://www.tiktok.com/@facethenation/video/7339645275834780974
https://www.tiktok.com/@imanalidib/video/7337448931418180906,Society,2024-04-18 01:00:04.992412,https://www.tiktok.com/@dailymail/video/7358746136229711146,https://www.tiktok.com/@facethenation/video/7339646397685206315,https://www.tiktok.com/@imanalidib/video/7346664080914140458,https://www.tiktok.com/@enwyadi/video/7358854448451554565,https://www.tiktok.com/@imanalidib/video/7341532406932983083,https://www.tiktok.com/@jesdanub/video/7358758991385644296,https://www.tiktok.com/@imanalidib/video/7328549881516133675,https://www.tiktok.com/@ryanjosephnetwork1/video/7346255401064680735
https://www.tiktok.com/@shereeneidriss/video/7343021997191941418,Society,2024-04-18 02:00:10.588446,https://www.tiktok.com/@doctormyro/video/7329179184645836078,https://www.tiktok.com/@pcos.weight.loss/video/7350743855639121195,https://www.tiktok.com/@shereeneidriss/video/7340845866124594475,https://www.tiktok.com/@shereeneidriss/video/7338889979269106986,https://www.tiktok.com/@samiasauce/video/7344031296068291883,https://www.tiktok.com/@thefeelgoodexpert/video/7332723684349758766,https://www.tiktok.com/@shereeneidriss/video/7352713457587834154,https://www.tiktok.com/@shereeneidriss/video/7341919738827722026
https://www.tiktok.com/@yourfavoriteguy/video/7337028694449458474,Society,2024-04-18 03:00:03.617777,https://www.tiktok.com/@littleyeg/video/7335960028869856558,https://www.tiktok.com/@jayrscottyy/video/7330409499196493099,https://www.tiktok.com/@johnstone.gregory/video/7326666197934689566,https://www.tiktok.com/@jayrscottyy/video/7341859136574868779,https://www.tiktok.com/@dailymail/video/7345054653278801198,https://www.tiktok.com/@nbcnews/video/7335093729637698862,https://www.tiktok.com/@yourfavoriteguy/video/7337814895133592875,https://www.tiktok.com/@yourfellowarab/video/7326601613131386142
https://www.tiktok.com/@thatfoodielyss/video/7323797404011089198,Society,2024-04-18 04:00:09.524058,https://www.tiktok.com/@ttbanned1980/video/7338956496094465323,https://www.tiktok.com/@briantylercohen/video/7341922212808625450,https://www.tiktok.com/@bidenhq/video/7339198467694431534,https://www.tiktok.com/@user1632253204117/video/7358665681614671105,https://www.tiktok.com/@novettebet/video/7351781038361939246,https://www.tiktok.com/@lostmymarblesagain/video/7341190849688128811,https://www.tiktok.com/@soleloco/video/7338103109094214954,https://www.tiktok.com/@60minutes/video/7350699521489259822
https://www.tiktok.com/@meme._.galaxy/video/7334316740840574240,Society,2024-04-18 05:00:14.713129,https://www.tiktok.com/@msnbc/video/7328556576699206958,https://www.tiktok.com/@unknowuseriani/video/7336436695115533610,https://www.tiktok.com/@zachking/video/7338816875956030766,https://www.tiktok.com/@jvirtuix8/video/7342693353319976198,https://www.tiktok.com/@devid4936/video/7327597851318439186,https://www.tiktok.com/@tvoibberis/video/7326980024639261958,https://www.tiktok.com/@haruun_apdi/video/7348869373634891013,https://www.tiktok.com/@raby_edgar/video/7336678222538624262
https://www.tiktok.com/@chhloekim/video/7353865845061258513,Society,2024-04-18 06:00:10.878293,https://www.tiktok.com/@leesiyoung38/video/7355815847736200455,https://www.tiktok.com/@chhloekim/video/7331459504623734017,https://www.tiktok.com/@chhloekim/video/7354164606534782225,https://www.tiktok.com/@chhloekim/video/7341089973778648321,https://www.tiktok.com/@jaxon.maxwell/video/7329153067427826987,https://www.tiktok.com/@harry.daniels/video/7354471424477777195,https://www.tiktok.com/@anesag_/video/7358775577639243014,https://www.tiktok.com/@thedailyshow/video/7335565235023056170
https://www.tiktok.com/@davidsonboswell/video/7351474612892470571,Society,2024-04-18 07:00:17.703368,https://www.tiktok.com/@fallontonight/video/7336424630355332395,https://www.tiktok.com/@nypost/video/7340000471039626542,https://www.tiktok.com/@beast.master.eddie/video/7344012918037531950,https://www.tiktok.com/@canstanja/video/7341559072530992427,https://www.tiktok.com/@treyyingst/video/7329271194610453762,https://www.tiktok.com/@channelnewsasia/video/7347602014370680066,https://www.tiktok.com/@cnn/video/7343833884087553326,https://www.tiktok.com/@povpierce/video/7342237133643549995
https://www.tiktok.com/@shhhhimeating/video/7335151140415311146,Society,2024-04-18 08:00:14.313087,https://www.tiktok.com/@kittyfoodie/video/7328271705779080490,https://www.tiktok.com/@kiffyming/video/7358841465180589317,https://www.tiktok.com/@galauna_case/video/7358964659677973766,https://www.tiktok.com/@serena_laury_mezher/video/7331704862926720274,https://www.tiktok.com/@mers.uae/video/7334611303606078721,https://www.tiktok.com/@sbsnews_au/video/7333452806818368786,https://www.tiktok.com/@nyeakamary/video/7359076511103749382,https://www.tiktok.com/@quietlyretired/video/7349353892817145131
